PreciseTimeStamp,e2EDurationInMilliseconds
15:00.0,134391
15:00.0,134266
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,124
15:00.0,133828
15:00.0,133703
15:00.0,133672
15:00.0,133485
15:00.0,132203
15:00.0,132016
15:00.0,129516
15:00.0,129438
15:00.0,125672
15:00.0,122453
15:00.0,121313
15:00.0,117516
15:00.0,124
15:00.0,124
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,125
15:00.0,140
15:00.0,109
15:00.0,15
15:00.0,125
15:00.0,125
15:00.0,125
15:00.0,109
15:00.0,124
15:00.0,109
15:00.0,234
15:00.0,125
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,109
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,109
15:00.0,124
15:00.0,124
15:00.0,109
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,125
15:00.0,125
15:00.0,125
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,109
15:00.0,124
15:00.0,149250
15:00.0,148453
15:00.0,147235
15:00.0,146735
15:00.0,146532
15:00.0,296
15:00.0,146188
15:00.0,145110
15:00.0,125
15:00.0,109
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,109
15:00.0,140
15:00.0,125
15:00.0,0
15:00.0,125
15:00.0,125
15:00.0,124
15:00.0,144735
15:00.0,143407
15:00.0,142719
15:00.0,142532
15:00.0,142516
15:00.0,142391
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,124
15:00.0,125
15:00.0,125
15:00.0,125
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,125
15:00.0,171
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,117266
15:00.0,124
15:00.0,115844
15:00.0,112578
15:00.0,110781
15:00.0,108422
15:00.0,104703
15:00.0,106641
15:00.0,124
15:00.0,103219
15:00.0,98328
15:00.0,95031
15:00.0,94078
15:00.0,93906
15:00.0,91141
15:00.0,90078
15:00.0,86156
15:00.0,85141
15:00.0,75359
15:00.0,74766
15:00.0,73250
15:00.0,69390
15:00.0,62344
15:00.0,59922
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,109
15:00.0,124
15:00.0,3109
15:00.0,375
15:00.0,140
15:00.0,124
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,141797
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,343
00:00.0,140
00:00.0,156
00:00.0,124
00:00.0,234
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,0
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,139
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,156
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,124
00:00.0,109
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,171
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,125
