PreciseTimeStamp,e2EDurationInMilliseconds
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,109
00:00.0,109
00:00.0,156
00:00.0,156
00:00.0,140
00:00.0,140
00:00.0,234
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,15
00:00.0,140
00:00.0,218
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,109
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,20359
00:00.0,20578
00:00.0,39328
00:00.0,40312
00:00.0,41109
00:00.0,42000
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,203
00:00.0,2890
00:00.0,4281
00:00.0,6828
00:00.0,7031
00:00.0,7484
00:00.0,14000
00:00.0,17015
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,156
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,93
00:00.0,93
00:00.0,171
00:00.0,93
00:00.0,93
00:00.0,78
00:00.0,93
00:00.0,93
00:00.0,93
00:00.0,109
00:00.0,124
45:00.0,59359
45:00.0,58859
45:00.0,58687
45:00.0,58422
45:00.0,19890
45:00.0,45312
45:00.0,45812
45:00.0,47406
45:00.0,48906
45:00.0,49468
45:00.0,51203
45:00.0,51687
45:00.0,25593
45:00.0,18578
45:00.0,8265
45:00.0,140
45:00.0,124
45:00.0,58265
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,156
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,218
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,109
45:00.0,109
45:00.0,140
45:00.0,171
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,37984
45:00.0,25624
45:00.0,124
45:00.0,109
45:00.0,125
45:00.0,109
45:00.0,140
45:00.0,124
45:00.0,281
45:00.0,124
45:00.0,140
45:00.0,58187
45:00.0,57000
45:00.0,56969
45:00.0,55453
45:00.0,47281
45:00.0,47203
45:00.0,65031
45:00.0,45578
45:00.0,38406
45:00.0,63656
45:00.0,109
45:00.0,124
45:00.0,171
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,203
45:00.0,37828
45:00.0,37547
45:00.0,36453
45:00.0,36218
45:00.0,32797
45:00.0,124
45:00.0,24234
45:00.0,20093
45:00.0,234
45:00.0,187
45:00.0,156
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,109
45:00.0,109
45:00.0,140
45:00.0,187
45:00.0,109
45:00.0,140
45:00.0,234
45:00.0,109
45:00.0,124
45:00.0,156
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,109
45:00.0,62687
45:00.0,62422
45:00.0,61531
45:00.0,61265
45:00.0,60922
45:00.0,60734
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,109
45:00.0,125
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,109
45:00.0,125
45:00.0,140
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,109
45:00.0,40687
45:00.0,40250
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,156
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,218
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,171
45:00.0,218
45:00.0,109
45:00.0,125
45:00.0,125
45:00.0,109
45:00.0,109
45:00.0,125
45:00.0,156
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,218
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,140
45:00.0,109
45:00.0,125
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,234
45:00.0,125
45:00.0,156
45:00.0,0
45:00.0,140
45:00.0,140
45:00.0,156
45:00.0,124
45:00.0,125
45:00.0,203
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,60656
45:00.0,59719
45:00.0,59625
45:00.0,66062
45:00.0,41312
45:00.0,41218
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,234
45:00.0,125
45:00.0,124
45:00.0,156
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,187
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,52921
45:00.0,57437
45:00.0,57499
45:00.0,58093
45:00.0,38140
45:00.0,38390
30:00.0,124
30:00.0,109
30:00.0,124
30:00.0,171
30:00.0,140
30:00.0,0
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,109
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,203
30:00.0,124
30:00.0,171
30:00.0,140
30:00.0,171
30:00.0,11296
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,171
30:00.0,125
30:00.0,0
30:00.0,13156
30:00.0,140
30:00.0,171
30:00.0,156
30:00.0,156
30:00.0,156
30:00.0,109
30:00.0,156
30:00.0,140
30:00.0,156
30:00.0,140
30:00.0,93
30:00.0,109
30:00.0,0
30:00.0,109
30:00.0,93
30:00.0,93
30:00.0,125
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,218
30:00.0,140
30:00.0,109
30:00.0,125
30:00.0,140
30:00.0,156
30:00.0,156
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,249
30:00.0,296
30:00.0,171
30:00.0,156
30:00.0,156
30:00.0,171
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,124
30:00.0,125
30:00.0,124
30:00.0,109
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,12796
30:00.0,12296
30:00.0,11797
30:00.0,15
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,156
30:00.0,156
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,109
30:00.0,109
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,109
30:00.0,140
30:00.0,125
30:00.0,109
30:00.0,171
30:00.0,124
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,140
30:00.0,156
30:00.0,281
30:00.0,140
30:00.0,10125
30:00.0,9968
30:00.0,156
30:00.0,156
30:00.0,359
30:00.0,140
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,109
30:00.0,125
30:00.0,109
30:00.0,9828
30:00.0,9625
30:00.0,8734
30:00.0,8609
30:00.0,8390
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,109
30:00.0,124
30:00.0,8359
30:00.0,8218
30:00.0,296
30:00.0,187
30:00.0,124
30:00.0,156
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,156
30:00.0,124
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,0
30:00.0,124
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,140
30:00.0,156
30:00.0,187
30:00.0,125
30:00.0,109
30:00.0,7578
30:00.0,7484
30:00.0,7359
30:00.0,5328
30:00.0,6343
30:00.0,4953
30:00.0,4281
30:00.0,4203
30:00.0,3656
30:00.0,2796
30:00.0,2343
30:00.0,2156
30:00.0,2046
30:00.0,1265
30:00.0,1968
30:00.0,1171
30:00.0,906
30:00.0,453
30:00.0,296
30:00.0,156
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,0
30:00.0,156
30:00.0,156
30:00.0,156
30:00.0,171
30:00.0,140
30:00.0,156
30:00.0,109
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,203
30:00.0,125
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,124
30:00.0,125
30:00.0,109
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,124
30:00.0,124
30:00.0,125
30:00.0,125
30:00.0,156
30:00.0,15
30:00.0,156
30:00.0,156
30:00.0,234
30:00.0,156
30:00.0,156
30:00.0,156
30:00.0,156
30:00.0,156
30:00.0,156
30:00.0,140
30:00.0,156
30:00.0,140
30:00.0,156
30:00.0,203
30:00.0,140
30:00.0,156
30:00.0,140
30:00.0,156
30:00.0,140
30:00.0,125
30:00.0,156
30:00.0,187
30:00.0,140
30:00.0,124
30:00.0,93
30:00.0,187
30:00.0,124
30:00.0,218
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,93
30:00.0,109
30:00.0,187
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,156
30:00.0,125
30:00.0,124
30:00.0,187
30:00.0,125
30:00.0,109
30:00.0,156
30:00.0,125
30:00.0,140
30:00.0,156
30:00.0,140
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,109
30:00.0,125
30:00.0,124
15:00.0,125
15:00.0,124
15:00.0,515
15:00.0,250
15:00.0,328
15:00.0,156
15:00.0,140
15:00.0,218
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,124
15:00.0,156
15:00.0,156
15:00.0,156
15:00.0,171
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,57547
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,171
15:00.0,156
15:00.0,156
15:00.0,203
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,125
15:00.0,156
15:00.0,140
15:00.0,124
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,218
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,125
15:00.0,140
15:00.0,156
15:00.0,57953
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,156
15:00.0,20890
15:00.0,25515
15:00.0,156
15:00.0,140
15:00.0,124
15:00.0,125
15:00.0,249
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,7171
15:00.0,125
15:00.0,9546
15:00.0,30250
15:00.0,56797
15:00.0,124
15:00.0,156
15:00.0,156
15:00.0,13687
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,171
15:00.0,140
15:00.0,218
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,15
15:00.0,156
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,109
00:00.0,109
00:00.0,15
00:00.0,156
00:00.0,109
00:00.0,125
00:00.0,125
00:00.0,15
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,156
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,187
00:00.0,140
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,109
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,109
00:00.0,125
00:00.0,124
00:00.0,109
00:00.0,125
00:00.0,140
00:00.0,5906
00:00.0,16484
00:00.0,31890
00:00.0,43140
00:00.0,48281
00:00.0,68562
00:00.0,71594
00:00.0,77297
00:00.0,82297
00:00.0,82422
00:00.0,82500
00:00.0,84687
00:00.0,95125
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,171
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,125
00:00.0,281
00:00.0,125
00:00.0,203
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,15
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,143768
00:00.0,140018
00:00.0,139705
00:00.0,139408
00:00.0,137033
00:00.0,135189
00:00.0,133642
00:00.0,133408
00:00.0,133251
00:00.0,132142
00:00.0,132033
00:00.0,131923
00:00.0,131517
00:00.0,131392
00:00.0,130579
00:00.0,130345
00:00.0,130142
00:00.0,130017
00:00.0,128626
00:00.0,128142
00:00.0,127439
00:00.0,123985
00:00.0,122501
00:00.0,121313
00:00.0,121204
00:00.0,121157
00:00.0,119094
00:00.0,117516
00:00.0,116751
00:00.0,103922
00:00.0,97016
00:00.0,95578
00:00.0,90828
00:00.0,82234
00:00.0,70750
00:00.0,65719
00:00.0,81062
00:00.0,32078
00:00.0,25265
00:00.0,23797
00:00.0,15390
00:00.0,13656
00:00.0,11625
00:00.0,140
00:00.0,125
00:00.0,156
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,109
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,109
00:00.0,109
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,109
00:00.0,124
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,109
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,140
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,171
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,140
45:00.0,234
45:00.0,187
45:00.0,140
45:00.0,156
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,15
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,234
45:00.0,156
45:00.0,124
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,109
45:00.0,109
45:00.0,156
45:00.0,135
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,109
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,0
45:00.0,124
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,218
45:00.0,140
45:00.0,140
45:00.0,187
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,109
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,140
45:00.0,156
45:00.0,124
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,156
45:00.0,156
45:00.0,140
45:00.0,156
45:00.0,140
45:00.0,156
45:00.0,0
45:00.0,140
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,140
45:00.0,187
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,328
45:00.0,125
45:00.0,125
45:00.0,109
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,187
45:00.0,125
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,109
45:00.0,234
45:00.0,156
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,156
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,156
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,156
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,234
45:00.0,125
45:00.0,156
45:00.0,187
45:00.0,140
45:00.0,156
45:00.0,0
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,0
45:00.0,125
45:00.0,140
45:00.0,156
45:00.0,140
45:00.0,140
45:00.0,265
45:00.0,140
45:00.0,109
45:00.0,125
45:00.0,0
45:00.0,109
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,109
45:00.0,109
45:00.0,171
45:00.0,140
45:00.0,156
45:00.0,140
45:00.0,125
45:00.0,140
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,124
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,125
30:00.0,109
30:00.0,156
30:00.0,125
30:00.0,62766
30:00.0,64047
30:00.0,133860
30:00.0,130610
30:00.0,187
30:00.0,140
30:00.0,64563
30:00.0,109
30:00.0,129344
30:00.0,96250
30:00.0,94813
30:00.0,92047
30:00.0,89516
30:00.0,88203
30:00.0,87859
30:00.0,87719
30:00.0,87250
30:00.0,87141
30:00.0,87094
30:00.0,87063
30:00.0,124
30:00.0,125
30:00.0,9859
30:00.0,9812
30:00.0,10328
30:00.0,18265
30:00.0,21062
30:00.0,21296
30:00.0,0
30:00.0,140
30:00.0,125
30:00.0,124
30:00.0,156
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,203
30:00.0,124
30:00.0,109
30:00.0,1468
30:00.0,31922
30:00.0,125
30:00.0,2125
30:00.0,109
30:00.0,55625
30:00.0,0
30:00.0,109
30:00.0,43141
30:00.0,43453
30:00.0,49578
30:00.0,56219
30:00.0,30844
30:00.0,32719
30:00.0,43078
30:00.0,2671
30:00.0,2734
30:00.0,5500
30:00.0,68375
30:00.0,70328
30:00.0,71703
30:00.0,76609
30:00.0,73656
30:00.0,78531
30:00.0,79828
30:00.0,86094
30:00.0,86219
30:00.0,86406
30:00.0,80047
30:00.0,109
30:00.0,109
30:00.0,80094
30:00.0,93
30:00.0,80125
30:00.0,80594
30:00.0,80641
30:00.0,80656
30:00.0,81016
30:00.0,81172
30:00.0,81297
30:00.0,81484
30:00.0,81797
30:00.0,81953
30:00.0,82016
30:00.0,82922
30:00.0,83484
30:00.0,124
30:00.0,109
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,86672
30:00.0,125
30:00.0,187
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,124
30:00.0,140
30:00.0,109
30:00.0,140
30:00.0,109
30:00.0,140
30:00.0,140
30:00.0,125
30:00.0,65422
30:00.0,66047
30:00.0,83781
30:00.0,83953
30:00.0,84312
30:00.0,140
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,84563
30:00.0,84750
30:00.0,84813
30:00.0,10531
30:00.0,10984
30:00.0,14859
30:00.0,22390
30:00.0,20781
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,24078
30:00.0,24406
30:00.0,32109
30:00.0,32797
30:00.0,34250
30:00.0,33390
30:00.0,34937
30:00.0,36078
30:00.0,37484
30:00.0,38547
30:00.0,40609
30:00.0,40781
30:00.0,41484
30:00.0,125
30:00.0,109
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,124
30:00.0,41906
30:00.0,42172
30:00.0,42969
30:00.0,43125
30:00.0,44625
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,109
30:00.0,124
30:00.0,140
30:00.0,140
30:00.0,140
30:00.0,46437
30:00.0,46844
30:00.0,47734
30:00.0,48453
30:00.0,109
30:00.0,140
30:00.0,124
30:00.0,171
30:00.0,109
30:00.0,125
30:00.0,124
30:00.0,125
30:00.0,140
30:00.0,125
30:00.0,109
30:00.0,109
30:00.0,140
30:00.0,125
30:00.0,140
30:00.0,140
30:00.0,9546
30:00.0,49312
30:00.0,124
30:00.0,140
30:00.0,124
30:00.0,124
30:00.0,124
30:00.0,84875
30:00.0,85047
30:00.0,85078
30:00.0,55859
30:00.0,49625
30:00.0,52687
30:00.0,52453
30:00.0,52781
30:00.0,52890
30:00.0,54203
30:00.0,54515
30:00.0,125
30:00.0,0
30:00.0,0
30:00.0,124
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,125
30:00.0,140
30:00.0,0
30:00.0,109
30:00.0,124
30:00.0,109
30:00.0,54672
30:00.0,125
30:00.0,54109
30:00.0,85406
30:00.0,85625
30:00.0,85984
30:00.0,86016
30:00.0,54906
30:00.0,55422
30:00.0,55234
30:00.0,55265
30:00.0,55344
30:00.0,125
30:00.0,124
30:00.0,93
30:00.0,109
30:00.0,109
30:00.0,125
30:00.0,124
30:00.0,156
30:00.0,156
30:00.0,109
30:00.0,109
30:00.0,109
30:00.0,124
15:00.0,125
15:00.0,140
15:00.0,203
15:00.0,140
15:00.0,156
15:00.0,124
15:00.0,234
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,109
15:00.0,124
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,125
15:00.0,171
15:00.0,140
15:00.0,109
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,250
15:00.0,218
15:00.0,109
15:00.0,125
15:00.0,109
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,187
15:00.0,156
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,0
15:00.0,140
15:00.0,125
15:00.0,125
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,125
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,125
15:00.0,109
15:00.0,109
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,250
15:00.0,140
15:00.0,125
15:00.0,156
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,109
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,125
15:00.0,0
15:00.0,156
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,109
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,140
